Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Dhamtari,M.Com,Digital Marketing Executive,Full Time,Medium,3 Months,8,142000
Bhilai,Diploma,Accountant,Full Time,Medium,3 Months,14,69000
Durg,12th Pass,Accountant,Full Time,Small,15 Days,1,21000
Dhamtari,12th Pass,Accountant,Contract,Small,2 Months,8,30000
Bilaspur,BA,MIS Executive,Full Time,Small,3 Months,5,43000
Manendragarh,MBA,MIS Executive,Full Time,Small,45 Days,6,145000
Bhilai,12th Pass,Accountant,Contract,Large,15 Days,1,25000
Mungeli,M.Com,Business Analyst,Full Time,Medium,2 Months,7,150000
Bhatapara,BBA,Sales Executive,Part Time,Small,15 Days,3,34000
Jagdalpur,BA,MIS Executive,Contract,Large,15 Days,12,91000
Sakti,MBA,Digital Marketing Executive,Part Time,Small,45 Days,2,65000
Bilaspur,MA,Account Manager,Intern,Small,45 Days,4,38000
Sakti,Diploma,Sales Executive,Full Time,Small,2 Months,12,51000
Korba,12th Pass,Customer Support,Full Time,Large,15 Days,3,28000
Raigarh,BA,Business Analyst,Full Time,Large,30 Days,4,78000
Bilaspur,BBA,Business Analyst,Full Time,Medium,30 Days,4,92000
Dalli-Rajhara,10th Pass,Computer Operator,Contract,Small,15 Days,7,12000
Sakti,10th Pass,Computer Operator,Full Time,Medium,45 Days,4,14000
Rajnandgaon,BCA,MIS Executive,Full Time,Medium,3 Months,10,89000
Korba,MBA,HR Executive,Full Time,Small,30 Days,9,120000
Raipur,M.Com,MIS Executive,Full Time,Small,3 Months,15,149000
Bemetra,BBA,Sales Executive,Part Time,Large,45 Days,12,74000
Manendragarh,M.Com,Sales Executive,Full Time,Medium,Immediately,1,72000
Ambikapur,BCA,MIS Executive,Full Time,Large,45 Days,10,142000
Bemetra,MA,MIS Executive,Contract,Small,30 Days,7,88000
Dalli-Rajhara,BBA,Digital Marketing Executive,Full Time,Large,15 Days,7,104000
Dalli-Rajhara,BA,Business Analyst,Intern,Large,15 Days,8,46000
Raigarh,MBA,Account Manager,Full Time,Medium,30 Days,11,150000
Durg,BCA,Digital Marketing Executive,Contract,Medium,2 Months,7,71000
Tilda Newra,MA,HR Executive,Full Time,Large,15 Days,4,104000
Mahasamund,MBA,MIS Executive,Full Time,Small,45 Days,11,150000
Manendragarh,BA,Business Analyst,Full Time,Large,2 Months,5,91000
Bilaspur,BCA,HR Executive,Full Time,Large,2 Months,2,62000
Korba,10th Pass,Sales Executive,Full Time,Small,45 Days,1,14000
Durg,BCA,Digital Marketing Executive,Full Time,Small,Immediately,10,87000
Durg,BA,HR Executive,Full Time,Small,30 Days,2,30000
Sakti,M.Com,HR Executive,Intern,Large,3 Months,15,83000
Dalli-Rajhara,M.Com,Digital Marketing Executive,Full Time,Small,45 Days,4,86000
Bhatapara,BBA,Digital Marketing Executive,Full Time,Medium,45 Days,10,121000
Jagdalpur,12th Pass,Sales Executive,Full Time,Large,3 Months,7,43000
Bilaspur,MA,Account Manager,Full Time,Large,3 Months,16,150000
Durg,10th Pass,Sales Executive,Full Time,Small,Immediately,4,16000
Bilaspur,BCA,HR Executive,Full Time,Medium,2 Months,2,55000
Durg,12th Pass,Content Writer,Full Time,Medium,30 Days,4,25000
Bilaspur,Diploma,Sales Executive,Part Time,Small,2 Months,5,24000
Sakti,10th Pass,Sales Executive,Full Time,Small,Immediately,1,13000
Raipur,M.Com,MIS Executive,Full Time,Large,15 Days,1,99000
Rajnandgaon,M.Com,Digital Marketing Executive,Full Time,Small,15 Days,5,102000
Rajnandgaon,BCA,HR Executive,Full Time,Medium,30 Days,1,48000
Bemetra,M.Com,HR Executive,Full Time,Small,Immediately,1,59000
Korba,B.Com,Sales Executive,Full Time,Medium,15 Days,4,58000
Bilaspur,M.Com,Digital Marketing Executive,Full Time,Medium,30 Days,6,132000
Bilaspur,M.Com,MIS Executive,Full Time,Medium,45 Days,15,150000
Mungeli,MA,MIS Executive,Full Time,Small,Immediately,1,67000
Mungeli,BA,Accountant,Full Time,Large,30 Days,1,49000
Jagdalpur,Diploma,Content Writer,Full Time,Large,2 Months,7,49000
Durg,BA,Digital Marketing Executive,Part Time,Small,45 Days,2,21000
Dhamtari,MA,MIS Executive,Full Time,Small,3 Months,5,80000
Ambikapur,M.Com,Sales Executive,Full Time,Small,Immediately,2,79000
Bilaspur,BA,MIS Executive,Full Time,Small,30 Days,5,46000
Tilda Newra,Diploma,Sales Executive,Part Time,Medium,30 Days,0,17000
Bhilai,M.Com,Account Manager,Full Time,Medium,30 Days,1,106000
Bemetra,BCA,Content Writer,Full Time,Large,45 Days,2,60000
Raigarh,10th Pass,Computer Operator,Full Time,Small,2 Months,9,16000
Jagdalpur,BCA,Content Writer,Contract,Small,Immediately,1,34000
Manendragarh,MBA,Business Analyst,Full Time,Small,30 Days,16,150000
Mahasamund,BBA,Content Writer,Full Time,Small,30 Days,2,36000
Tilda Newra,12th Pass,Accountant,Intern,Medium,15 Days,12,22000
Raipur,M.Com,Business Analyst,Full Time,Small,Immediately,14,150000
Korba,B.Com,Sales Executive,Full Time,Large,Immediately,7,84000
Bhilai,MBA,HR Executive,Contract,Large,3 Months,5,150000
Bilaspur,BA,Digital Marketing Executive,Full Time,Small,15 Days,5,44000
Jagdalpur,MA,Digital Marketing Executive,Full Time,Small,45 Days,9,115000
Bemetra,BA,HR Executive,Full Time,Large,Immediately,2,45000
Dhamtari,BA,Account Manager,Full Time,Small,30 Days,4,55000
Tilda Newra,10th Pass,Computer Operator,Full Time,Medium,3 Months,7,17000
Raipur,12th Pass,Content Writer,Contract,Small,45 Days,1,16000
Bhatapara,B.Com,Sales Executive,Part Time,Small,Immediately,1,21000
Chirmiri,Diploma,Computer Operator,Part Time,Small,45 Days,9,17000
Manendragarh,MBA,MIS Executive,Contract,Large,2 Months,8,150000
Jagdalpur,BCA,Account Manager,Contract,Medium,Immediately,7,91000
Manendragarh,BBA,Business Analyst,Contract,Large,15 Days,3,85000
Bhilai,B.Com,Sales Executive,Full Time,Large,30 Days,1,57000
Durg,M.Com,HR Executive,Full Time,Medium,30 Days,10,131000
Bemetra,BCA,Content Writer,Full Time,Large,2 Months,2,61000
Manendragarh,BA,MIS Executive,Full Time,Large,2 Months,12,109000
Korba,MBA,Digital Marketing Executive,Part Time,Large,45 Days,9,148000
Raipur,Diploma,Computer Operator,Contract,Large,15 Days,1,25000
Jagdalpur,Diploma,Customer Support,Part Time,Medium,2 Months,7,22000
Manendragarh,10th Pass,Computer Operator,Full Time,Medium,2 Months,5,14000
Raigarh,10th Pass,Sales Executive,Full Time,Medium,3 Months,1,16000
Jagdalpur,B.Com,HR Executive,Full Time,Large,3 Months,5,75000
Bhilai,BCA,Business Analyst,Contract,Small,45 Days,9,83000
Korba,Diploma,Accountant,Full Time,Medium,15 Days,5,43000
Raipur,B.Com,HR Executive,Full Time,Large,15 Days,1,52000
Sakti,Diploma,Computer Operator,Intern,Medium,2 Months,11,14000
Sakti,BCA,HR Executive,Contract,Medium,15 Days,2,52000
Raipur,Diploma,Sales Executive,Contract,Large,30 Days,3,44000
Mungeli,12th Pass,Content Writer,Full Time,Small,2 Months,8,28000
Mungeli,10th Pass,Customer Support,Part Time,Small,Immediately,0,12000
Mungeli,B.Com,Digital Marketing Executive,Contract,Small,3 Months,6,55000
Ambikapur,10th Pass,Sales Executive,Full Time,Medium,45 Days,6,22000
Bhatapara,Diploma,Customer Support,Full Time,Medium,45 Days,7,35000
Bhatapara,12th Pass,Content Writer,Intern,Small,45 Days,9,11000
Raigarh,BCA,Account Manager,Full Time,Small,15 Days,4,82000
Chirmiri,B.Com,HR Executive,Full Time,Medium,30 Days,2,38000
Rajnandgaon,Diploma,Accountant,Full Time,Small,Immediately,1,28000
Sakti,B.Com,Sales Executive,Full Time,Medium,30 Days,7,72000
Bilaspur,M.Com,HR Executive,Intern,Large,3 Months,5,45000
Dalli-Rajhara,BA,Sales Executive,Full Time,Medium,Immediately,0,35000
Korba,12th Pass,Sales Executive,Full Time,Medium,30 Days,4,33000
Tilda Newra,12th Pass,Sales Executive,Full Time,Large,Immediately,1,28000
Tilda Newra,BA,HR Executive,Full Time,Large,45 Days,5,64000
Bhilai,BBA,Digital Marketing Executive,Full Time,Large,2 Months,11,119000
Raipur,BBA,HR Executive,Part Time,Medium,45 Days,7,46000
Bhatapara,12th Pass,Sales Executive,Full Time,Medium,45 Days,5,31000
Manendragarh,10th Pass,Customer Support,Full Time,Small,30 Days,0,12000
Chirmiri,B.Com,Content Writer,Part Time,Small,15 Days,1,17000
Durg,BCA,Digital Marketing Executive,Part Time,Large,2 Months,2,46000
Bilaspur,B.Com,Sales Executive,Full Time,Large,2 Months,7,80000
Rajnandgaon,MA,Business Analyst,Contract,Small,Immediately,9,103000
Dalli-Rajhara,MA,MIS Executive,Full Time,Large,45 Days,4,110000
Mungeli,Diploma,Accountant,Full Time,Large,2 Months,5,51000
Durg,M.Com,Digital Marketing Executive,Contract,Medium,Immediately,1,77000
Bemetra,MBA,HR Executive,Full Time,Medium,45 Days,3,105000
Bhatapara,MBA,MIS Executive,Full Time,Large,2 Months,9,150000
Mungeli,Diploma,Computer Operator,Full Time,Large,3 Months,8,40000
Rajnandgaon,B.Com,Content Writer,Part Time,Large,Immediately,0,24000
Bhatapara,10th Pass,Customer Support,Part Time,Large,45 Days,2,12000
Mahasamund,12th Pass,Customer Support,Full Time,Medium,15 Days,4,23000
Dhamtari,BA,Sales Executive,Full Time,Small,2 Months,5,41000
Jagdalpur,MA,MIS Executive,Full Time,Small,3 Months,16,136000
Mahasamund,BA,Digital Marketing Executive,Full Time,Small,15 Days,1,35000
Sakti,B.Com,Content Writer,Contract,Small,15 Days,2,32000
Bhatapara,B.Com,Accountant,Full Time,Medium,2 Months,1,41000
Raipur,BA,MIS Executive,Full Time,Large,45 Days,14,121000
Bemetra,BBA,HR Executive,Contract,Small,2 Months,4,45000
Rajnandgaon,12th Pass,Content Writer,Full Time,Small,3 Months,12,31000
Bhatapara,10th Pass,Computer Operator,Full Time,Medium,15 Days,2,12000
Bemetra,BBA,Customer Support,Contract,Small,30 Days,2,34000
Bilaspur,BBA,MIS Executive,Intern,Small,30 Days,10,39000
Bilaspur,12th Pass,Sales Executive,Full Time,Medium,30 Days,6,38000
Bemetra,MA,Business Analyst,Part Time,Large,2 Months,9,101000
Chirmiri,BBA,Sales Executive,Full Time,Medium,15 Days,11,103000
Mungeli,BA,Sales Executive,Part Time,Medium,45 Days,5,29000
Mahasamund,Diploma,Accountant,Contract,Large,30 Days,5,50000
Bemetra,BA,HR Executive,Full Time,Medium,15 Days,12,81000
Raipur,12th Pass,Computer Operator,Contract,Small,Immediately,9,18000
Jagdalpur,BCA,Sales Executive,Intern,Small,15 Days,3,24000
Raigarh,12th Pass,Sales Executive,Full Time,Small,45 Days,8,34000
Bhilai,BA,Digital Marketing Executive,Full Time,Medium,2 Months,2,43000
Tilda Newra,MA,Account Manager,Intern,Large,30 Days,8,69000
Korba,MBA,MIS Executive,Full Time,Large,30 Days,12,150000
Durg,Diploma,Customer Support,Full Time,Large,3 Months,12,64000
Korba,12th Pass,Sales Executive,Full Time,Small,3 Months,7,33000
Durg,MA,Business Analyst,Full Time,Large,30 Days,7,150000
Tilda Newra,MBA,Account Manager,Full Time,Medium,15 Days,9,150000
Chirmiri,B.Com,MIS Executive,Full Time,Large,45 Days,5,85000
Mungeli,10th Pass,Computer Operator,Full Time,Large,30 Days,4,16000
Naila Janjgir,12th Pass,Customer Support,Full Time,Small,15 Days,4,18000
Sakti,MBA,Account Manager,Full Time,Large,30 Days,15,150000
Rajnandgaon,Diploma,Content Writer,Full Time,Small,45 Days,3,27000
Rajnandgaon,BCA,HR Executive,Part Time,Medium,45 Days,2,32000
Ambikapur,M.Com,Digital Marketing Executive,Full Time,Medium,2 Months,9,150000
Jagdalpur,MBA,Digital Marketing Executive,Full Time,Small,30 Days,7,147000
Naila Janjgir,MBA,Account Manager,Contract,Large,2 Months,2,146000
Mahasamund,Diploma,Sales Executive,Part Time,Small,30 Days,2,19000
Korba,12th Pass,Computer Operator,Intern,Large,3 Months,5,10000
Chirmiri,10th Pass,Computer Operator,Full Time,Medium,2 Months,5,13000
Tilda Newra,10th Pass,Sales Executive,Part Time,Large,2 Months,7,18000
Mungeli,MA,Sales Executive,Full Time,Medium,45 Days,4,76000
Jagdalpur,10th Pass,Customer Support,Part Time,Medium,2 Months,2,12000
Raigarh,12th Pass,Customer Support,Full Time,Large,2 Months,2,25000
Raipur,MA,Digital Marketing Executive,Full Time,Small,45 Days,10,120000
Sakti,BBA,Account Manager,Intern,Medium,Immediately,3,32000
Bilaspur,MA,MIS Executive,Full Time,Large,30 Days,15,150000
Bhilai,MBA,HR Executive,Part Time,Large,45 Days,3,78000
Bhilai,12th Pass,Sales Executive,Part Time,Large,15 Days,1,19000
Bemetra,M.Com,Account Manager,Full Time,Large,Immediately,11,150000
Rajnandgaon,B.Com,Digital Marketing Executive,Part Time,Medium,30 Days,0,26000
Bhilai,Diploma,Customer Support,Full Time,Small,2 Months,9,36000
Mahasamund,Diploma,Accountant,Full Time,Small,30 Days,10,47000
Bhatapara,MA,Digital Marketing Executive,Part Time,Small,2 Months,6,54000
Tilda Newra,MA,MIS Executive,Part Time,Small,15 Days,3,40000
Mahasamund,BBA,Sales Executive,Full Time,Large,30 Days,5,90000
Korba,10th Pass,Sales Executive,Full Time,Small,15 Days,0,12000
Tilda Newra,MA,MIS Executive,Full Time,Medium,30 Days,4,91000
Raipur,12th Pass,Accountant,Full Time,Medium,15 Days,6,34000
Raipur,12th Pass,Customer Support,Part Time,Small,2 Months,2,12000
Sakti,10th Pass,Customer Support,Full Time,Large,30 Days,3,18000
Dhamtari,B.Com,MIS Executive,Part Time,Medium,3 Months,5,40000
Dalli-Rajhara,Diploma,Content Writer,Full Time,Small,45 Days,9,42000
Dalli-Rajhara,M.Com,HR Executive,Full Time,Large,30 Days,4,123000
Manendragarh,MBA,Business Analyst,Full Time,Small,3 Months,9,150000
Bilaspur,Diploma,Computer Operator,Full Time,Medium,15 Days,1,19000
Durg,10th Pass,Customer Support,Contract,Small,Immediately,1,12000
Bhilai,MBA,Account Manager,Full Time,Large,Immediately,7,150000
Dalli-Rajhara,M.Com,MIS Executive,Full Time,Large,Immediately,8,147000
Bhatapara,BBA,Sales Executive,Part Time,Small,3 Months,11,48000
Durg,BA,Digital Marketing Executive,Full Time,Medium,45 Days,10,81000
Bhatapara,MBA,Sales Executive,Full Time,Medium,15 Days,1,103000
Sakti,12th Pass,Content Writer,Full Time,Medium,15 Days,6,25000
Sakti,BCA,Digital Marketing Executive,Contract,Large,30 Days,1,57000
Rajnandgaon,BBA,Customer Support,Full Time,Small,30 Days,1,34000
Mungeli,MA,HR Executive,Full Time,Medium,2 Months,13,121000
Manendragarh,12th Pass,Accountant,Full Time,Large,45 Days,9,46000
Tilda Newra,BBA,Content Writer,Full Time,Large,Immediately,0,48000
Sakti,Diploma,Accountant,Intern,Small,30 Days,4,13000
Korba,BCA,HR Executive,Full Time,Small,15 Days,6,64000
Rajnandgaon,Diploma,Sales Executive,Full Time,Large,Immediately,6,60000
Chirmiri,12th Pass,Customer Support,Full Time,Large,2 Months,6,32000
Durg,MA,HR Executive,Intern,Medium,45 Days,3,30000
Durg,BCA,Account Manager,Contract,Large,3 Months,14,143000
Mungeli,12th Pass,Accountant,Contract,Large,30 Days,2,29000
Bilaspur,MBA,Account Manager,Full Time,Small,Immediately,18,150000
Bhatapara,12th Pass,Customer Support,Full Time,Large,45 Days,7,33000
Sakti,12th Pass,Content Writer,Part Time,Medium,45 Days,12,25000
Tilda Newra,Diploma,Accountant,Full Time,Large,30 Days,6,54000
Sakti,12th Pass,Sales Executive,Full Time,Medium,45 Days,6,35000
Manendragarh,BBA,HR Executive,Full Time,Large,45 Days,4,80000
Dhamtari,MBA,Account Manager,Full Time,Large,2 Months,7,150000
Ambikapur,MA,Account Manager,Full Time,Large,30 Days,9,150000
Bhilai,MBA,Digital Marketing Executive,Full Time,Medium,3 Months,9,150000
Mungeli,BA,Sales Executive,Intern,Large,45 Days,2,19000
Korba,M.Com,Digital Marketing Executive,Full Time,Medium,Immediately,1,88000
Bemetra,MA,Business Analyst,Full Time,Small,15 Days,7,116000
Dalli-Rajhara,BBA,HR Executive,Full Time,Small,30 Days,2,40000
Mahasamund,Diploma,Computer Operator,Full Time,Large,45 Days,10,51000
Tilda Newra,Diploma,Computer Operator,Full Time,Small,45 Days,4,23000
Sakti,BBA,Account Manager,Full Time,Medium,Immediately,4,86000
Bemetra,12th Pass,Computer Operator,Full Time,Large,45 Days,7,29000
Korba,10th Pass,Sales Executive,Full Time,Small,45 Days,8,23000
Rajnandgaon,12th Pass,Accountant,Full Time,Medium,3 Months,8,40000
Bhatapara,M.Com,MIS Executive,Full Time,Large,30 Days,4,140000
Mahasamund,BCA,Customer Support,Full Time,Large,15 Days,1,46000
Bilaspur,MA,Account Manager,Part Time,Large,3 Months,10,117000
Durg,10th Pass,Customer Support,Part Time,Medium,Immediately,0,12000
Mahasamund,M.Com,MIS Executive,Full Time,Small,2 Months,11,129000
Tilda Newra,BCA,Content Writer,Full Time,Small,15 Days,0,33000
Bilaspur,Diploma,Customer Support,Contract,Medium,3 Months,4,26000
Dalli-Rajhara,M.Com,MIS Executive,Full Time,Small,45 Days,7,113000
Naila Janjgir,BCA,Business Analyst,Full Time,Medium,Immediately,5,104000
Bemetra,B.Com,Sales Executive,Full Time,Small,30 Days,11,71000
Rajnandgaon,BA,HR Executive,Full Time,Medium,30 Days,8,53000
Raipur,MA,HR Executive,Contract,Large,30 Days,4,84000
Tilda Newra,Diploma,Content Writer,Full Time,Large,30 Days,7,45000
Rajnandgaon,12th Pass,Sales Executive,Contract,Medium,Immediately,0,21000
Mungeli,M.Com,HR Executive,Full Time,Large,15 Days,12,150000
Bhatapara,10th Pass,Sales Executive,Full Time,Medium,3 Months,4,21000
Raipur,Diploma,Content Writer,Full Time,Medium,3 Months,5,33000
Korba,Diploma,Sales Executive,Full Time,Large,30 Days,6,51000
Sakti,MBA,Digital Marketing Executive,Full Time,Large,2 Months,7,150000
Rajnandgaon,Diploma,Accountant,Full Time,Medium,45 Days,4,38000
Bilaspur,B.Com,MIS Executive,Full Time,Small,45 Days,9,65000
Durg,MBA,Account Manager,Full Time,Small,15 Days,3,146000
Tilda Newra,BCA,HR Executive,Contract,Large,2 Months,11,113000
Dhamtari,BA,HR Executive,Full Time,Large,2 Months,8,63000
Tilda Newra,M.Com,HR Executive,Full Time,Medium,45 Days,3,88000
Ambikapur,MA,Business Analyst,Full Time,Medium,30 Days,11,150000
Bemetra,BBA,Customer Support,Full Time,Small,15 Days,2,33000
Naila Janjgir,12th Pass,Content Writer,Full Time,Medium,45 Days,5,25000
Ambikapur,Diploma,Computer Operator,Full Time,Medium,2 Months,4,26000
Bemetra,B.Com,Sales Executive,Full Time,Small,2 Months,7,55000
Manendragarh,B.Com,HR Executive,Intern,Medium,15 Days,1,16000
Dalli-Rajhara,BA,Sales Executive,Full Time,Large,2 Months,11,100000
Sakti,MA,MIS Executive,Full Time,Large,45 Days,6,125000
Durg,Diploma,Sales Executive,Intern,Large,30 Days,3,20000
Jagdalpur,Diploma,Accountant,Full Time,Large,30 Days,3,47000
Tilda Newra,Diploma,Accountant,Full Time,Small,3 Months,15,67000
Manendragarh,Diploma,Accountant,Full Time,Small,Immediately,0,22000
Durg,BBA,Sales Executive,Part Time,Large,15 Days,0,33000
Manendragarh,10th Pass,Sales Executive,Full Time,Large,30 Days,5,23000
Dhamtari,BCA,Account Manager,Contract,Small,30 Days,6,80000
Mungeli,BBA,Accountant,Part Time,Small,Immediately,1,29000
Dhamtari,M.Com,Sales Executive,Contract,Medium,30 Days,4,100000
Naila Janjgir,10th Pass,Computer Operator,Contract,Medium,Immediately,5,13000
Naila Janjgir,B.Com,Business Analyst,Full Time,Small,3 Months,14,95000
Raipur,BA,Sales Executive,Full Time,Large,15 Days,1,49000
Manendragarh,BBA,Business Analyst,Full Time,Medium,2 Months,10,141000
Raipur,MA,HR Executive,Part Time,Medium,2 Months,9,63000
Sakti,BCA,Sales Executive,Full Time,Large,30 Days,6,103000
Manendragarh,M.Com,HR Executive,Contract,Large,45 Days,7,138000
Raipur,MBA,Digital Marketing Executive,Part Time,Medium,45 Days,10,125000
Bemetra,MA,Business Analyst,Full Time,Small,3 Months,7,118000
Raipur,B.Com,Content Writer,Intern,Medium,30 Days,2,17000
Naila Janjgir,MA,HR Executive,Full Time,Medium,30 Days,3,75000
Tilda Newra,MBA,Account Manager,Full Time,Medium,15 Days,2,136000
Sakti,M.Com,MIS Executive,Contract,Medium,30 Days,2,77000
Naila Janjgir,MBA,Business Analyst,Part Time,Small,3 Months,10,130000
Manendragarh,B.Com,Sales Executive,Part Time,Medium,30 Days,2,26000
Sakti,BA,Account Manager,Full Time,Small,3 Months,8,58000
Bhatapara,MA,HR Executive,Contract,Small,45 Days,1,51000
Tilda Newra,MBA,Sales Executive,Full Time,Small,2 Months,3,111000
Mungeli,BCA,Content Writer,Contract,Large,30 Days,1,51000
Durg,MBA,Digital Marketing Executive,Contract,Medium,30 Days,3,128000
Manendragarh,10th Pass,Customer Support,Part Time,Large,45 Days,0,12000
Durg,10th Pass,Computer Operator,Full Time,Medium,Immediately,3,14000
Sakti,BBA,Account Manager,Full Time,Small,Immediately,13,104000
Ambikapur,B.Com,Content Writer,Contract,Large,30 Days,0,38000
Dhamtari,BCA,HR Executive,Part Time,Small,15 Days,5,34000
Chirmiri,MA,Digital Marketing Executive,Full Time,Small,15 Days,4,72000
Tilda Newra,12th Pass,Customer Support,Part Time,Small,3 Months,12,18000
Korba,12th Pass,Sales Executive,Part Time,Medium,45 Days,2,16000
Chirmiri,12th Pass,Customer Support,Full Time,Medium,45 Days,2,19000
Ambikapur,Diploma,Content Writer,Part Time,Large,30 Days,0,18000
Manendragarh,BBA,MIS Executive,Full Time,Large,30 Days,12,141000
Bhatapara,BA,MIS Executive,Full Time,Small,30 Days,15,73000
Naila Janjgir,BCA,MIS Executive,Full Time,Large,15 Days,10,132000
Bilaspur,MA,MIS Executive,Contract,Large,45 Days,1,73000
Bhilai,BCA,Sales Executive,Full Time,Small,15 Days,12,86000
Mahasamund,BA,HR Executive,Contract,Medium,15 Days,0,29000
